2008.58327,1.908274264
2008.666603,1.903204727
2008.749937,1.896530697
2008.83327,1.888964767
2008.916603,1.881657369
2008.999936,1.874441271
2009.08327,1.866847112
2009.166603,1.859778643
2009.249936,1.854142486
2009.33327,1.847856179
2009.416603,1.838380114
2009.499936,1.826533087
2009.58327,1.813897734
2009.666603,1.800108189
2009.749936,1.784579349
2009.833269,1.76871696
2009.916603,1.754025646
2009.999936,1.739667548
2010.083269,1.724694898
2010.166603,1.710627521
2010.249936,1.698430541
2010.333269,1.68400096
2010.416603,1.664279711
2010.499936,1.64538953
2010.583269,1.633127233
2010.666602,1.623809639
2010.749936,1.613098501
2010.833269,1.602013233
2010.916602,1.592466593
2010.999936,1.585457795
2011.083269,1.582039759
2011.166602,1.584022803
2011.249936,1.591833266
2011.333269,1.601357829
2011.416602,1.609512202
2011.499935,1.618452321
2011.583269,1.629610964
2011.666602,1.640067394
2011.749935,1.647688658
2011.833269,1.654138294
2011.916602,1.661111617
2011.999935,1.66896583
2012.083269,1.677521972
2012.166602,1.685830141
2012.249935,1.693250901
2012.333268,1.700043289
2012.416602,1.706332355
2012.499935,1.711728657
2012.583268,1.715791459
2012.666602,1.718110975
2012.749935,1.719106315
2012.833268,1.72070746
2012.916602,1.723447239
2012.999935,1.725131924
2013.083268,1.724982861
2013.166601,1.725036585
2013.249935,1.726292018
