Surface Area,Volume,Elevation
1010.36,1.08741064482422,1272.27
1013.93,1.09753187583008,1272.28
1017.54,1.10769008632812,1272.29
1020.96,1.11788157910156,1272.3
1024.5,1.12810925292969,1272.31
1028.11,1.1383718809082,1272.32
1031.79,1.14867088554687,1272.33
1035.05,1.15900500659179,1272.34
1038.89,1.16937463476562,1272.35
1042.53,1.17978195600585,1272.36
1045.95,1.19022294042968,1272.37
1049.67,1.20070217080079,1272.38
1053.35,1.21121627539063,1272.39
1056.82,1.22176763867188,1272.4
1060.28,1.23235415913086,1272.41
1063.81,1.24297524150391,1272.42
1067.67,1.253632553125,1272.43
1071.02,1.26432671137696,1272.44
1074.77,1.27505542211914,1272.45
1078.38,1.28582074360352,1272.46
1082.07,1.29662243369141,1272.47
1085.72,1.30746152529297,1272.48
1089.3,1.31833651904297,1272.49
1093.04,1.32924837524414,1272.5
1096.44,1.34019484799805,1272.51
1100.12,1.35117811655273,1272.52
1103.95,1.36219774316406,1272.53
1107.69,1.3732556871582,1272.54
1113.07,1.38437259423828,1272.55
1116.27,1.3955196790039,1272.56
1119.28,1.40669692421875,1272.57
1122.25,1.4179053515625,1272.58
1125.43,1.42914451054687,1272.59
1128.54,1.44041460180664,1272.6
1131.63,1.45171595405273,1272.61
1134.91,1.46304897539062,1272.62
1137.93,1.47441288486329,1272.63
1140.79,1.48580662294922,1272.64
1143.9,1.49723064941407,1272.65
1147.09,1.5086863128418,1272.66
1150.11,1.52017291264649,1272.67
1153.35,1.53168978833008,1272.68
1156.63,1.54323971586914,1272.69
1159.7,1.55482158935547,1272.7
1162.89,1.56643460629883,1272.71
1165.94,1.57807772285156,1272.72
1169.21,1.589753534375,1272.73
1172.32,1.60146077583008,1272.74
1175.41,1.61319954833984,1272.75
1178.84,1.62497100620117,1272.76
1182.04,1.63677447431641,1272.77
1185.26,1.64861212739258,1272.78
1188.36,1.66047999448242,1272.79
1191.63,1.67237976538086,1272.8
1194.74,1.68431053769531,1272.81
1197.95,1.69627352270508,1272.82
1201.18,1.70826954892578,1272.83
1204.4,1.7202966262207,1272.84
1209.75,1.73236707641601,1272.85
1212.64,1.74447920615234,1272.86
1215.57,1.75662036166992,1272.87
1218.15,1.76878861987305,1272.88
1220.98,1.78098452543946,1272.89
1223.76,1.79320769750977,1272.9
1226.58,1.80545973481446,1272.91
1229.32,1.81773862241211,1272.92
1232.31,1.83004729291992,1272.93
1235.29,1.84238535634766,1272.94
1238.25,1.85475287353516,1272.95
1241.05,1.86714940869141,1272.96
1243.95,1.87957455053711,1272.97
1247.05,1.89202946630859,1272.98
1249.85,1.90451338598633,1272.99
1252.46,1.91702480224609,1273
1255.48,1.92956378803711,1273.01
1258.28,1.9421327081543,1273.02
1261.37,1.95473083632812,1273.03
1264.43,1.96736036894531,1273.04
1267.23,1.98001875341797,1273.05
1270.18,1.99270616987304,1273.06
1272.97,2.00542249228515,1273.07
1275.95,2.01816645898437,1273.08
1278.88,2.03094075883789,1273.09
1281.78,2.04374405834961,1273.1
1284.7,2.05657638476562,1273.11
1287.79,2.06943907124023,1273.12
1290.91,2.0823322440918,1273.13
1293.64,2.09525511269532,1273.14
1296.89,2.10820580102539,1273.15
1299.57,2.12118858647461,1273.16
1302.12,2.13419733237305,1273.17
1304.88,2.14723252719727,1273.18
1307.24,2.16029328066406,1273.19
1309.7,2.17337853637695,1273.2
1312.29,2.18648850742188,1273.21
1314.84,2.19962479023438,1273.22
1317.56,2.21278666254883,1273.23
1320.08,2.22597464555664,1273.24
1322.68,2.23918852172852,1273.25
1325.45,2.25242947558594,1273.26
1328.02,2.26569676352539,1273.27
1330.55,2.27898968359375,1273.28
1333.16,2.29230817368164,1273.29
1335.88,2.30565283666992,1273.3
1338.49,2.31902505185547,1273.31
1340.95,2.33242171362305,1273.32
1343.81,2.34584527363281,1273.33
1346.28,2.35929585551758,1273.34
1349.01,2.37277133569336,1273.35
1351.63,2.38627472358398,1273.36
1354.41,2.39980449296874,1273.37
1357.06,2.41336121308594,1273.38
1359.85,2.42694593725587,1273.39
1362.52,2.44055779492188,1273.4
1365.2,2.45419636523438,1273.41
1368.07,2.46786215268555,1273.42
1370.66,2.48155504511719,1273.43
1373.46,2.49527506235352,1273.44
1376.37,2.50902438208008,1273.45
1384.18,2.52283016572266,1273.46
1386.99,2.53668535126953,1273.47
1389.67,2.55056861782227,1273.48
1392.39,2.56447870620117,1273.49
1394.97,2.57841572143555,1273.5
1398.04,2.59238109580078,1273.51
